,LGCYINVESTORID,TOP10SHSHLDVALpct,Unnamed: 0,CLUSTER,FULLNAME
34,2001978,0.2280839717219353,34,0,"Bowen, Hanes & Company, Inc."
35,2001979,0.4179912631905016,35,0,Sandler Capital Management
36,2001981,0.1763590300566874,36,0,"AJO, LP"
37,2001983,0.2866354669854263,37,0,Sabal Trust Company
38,2001986,0.284693585999428,38,0,"BTC Capital Management, Inc."
39,2001988,0.17033780747188834,39,0,Baird Investment Management
40,2001989,0.25058695600444425,40,0,"Ariel Investments, LLC"
41,2001997,0.13848100616898934,41,0,Weiss Multi-Strategy Advisers LLC
42,2001999,0.15420320462566225,42,0,JP Morgan Asset Management
43,2002002,0.4901420944501056,43,0,"Marshall & Sullivan, Inc."
44,2002007,0.2394075191327788,44,0,"Franklin Advisory Services, LLC"
45,2002008,0.3508395924632337,45,0,"Abner, Herrman & Brock Asset Management"
46,2002011,0.19674896927614344,46,0,"Cramer Rosenthal McGlynn, LLC"
47,2002012,0.16998954230992172,47,0,"Mesirow Financial Investment Management, Inc."
48,2002015,0.18735960794638867,48,3,California State Teachers Retirement System
49,2002019,0.8031742893757402,49,3,Berkshire Hathaway Inc.
50,2002021,0.35111241718223746,50,0,"D. F. Dent & Company, Inc."
51,2002022,0.34911905896866097,51,0,"Guyasuta Investment Advisors, Inc."
52,2002024,0.6236030654517797,52,3,"Tanaka Capital Management, Inc."
53,2002027,0.1913908572355412,53,0,"Capital Management Associates, Inc. (NY)"
54,2002030,0.44576820893308217,54,0,"HHR Asset Management, LLC"
55,2002032,0.14035763881034707,55,0,Kentucky Teachers' Retirement System
56,2002033,0.3778342874992905,56,0,"Cornerstone Capital, Inc."
57,2002035,0.13406278747592956,57,0,Renaissance Investment Management
58,2002036,0.1762134503994853,58,3,New York State Common Retirement Fund
59,2002037,1.0,59,0,"Lilly Endowment, Inc."
60,2002042,0.7441655975350447,60,2,Choate Investment Advisors LLC
61,2002044,0.3780811780886673,61,3,Hemenway & Barnes LLP
62,2002046,0.16503408905000946,62,0,Stephens Capital Management
63,2002047,0.4922480564804966,63,3,Cape Ann Savings Bank
64,2002048,0.38605908896535096,64,3,"McMillion Capital Management, Inc."
65,2002049,0.4121258890465532,65,0,Ardsley Advisory Partners LP
66,2002050,0.21249019128603452,66,0,"Brandywine Global Investment Management, LLC"
67,2002053,0.32011604963606183,67,0,A. Montag & Associates
68,2002054,0.9058064500702536,68,3,"New England Asset Management, Inc."
69,2002055,0.3781727272958833,69,0,"U.S. Global Investors, Inc."
70,2002063,0.1997538575479723,70,0,"ClearBridge Investments, LLC"
71,2002068,0.3276743000151557,71,3,"St. Germain Investment Management, Inc."
72,2002071,0.34249698814300245,72,0,"Birmingham Capital Management Company, Inc."
73,2002073,0.3159240747647989,73,0,RE Advisers Corporation
74,2002074,0.1358756144029564,74,0,"Rampart Investment Management Company, LLC"
75,2002076,0.666665648781402,75,0,Westwood Management Corporation
76,2002083,0.3649354949761519,76,0,Gluskin Sheff + Associates Inc.
77,2002086,0.26382396939504715,77,0,"Crawford Investment Counsel, Inc."
78,2002095,0.21842291186308266,78,0,Alberta Investment Management Corporation
79,2002097,0.2420206957132296,79,0,First Merchants Trust Company
80,2002104,0.4614533438925073,80,3,Davis-Rea Ltd.
81,2002105,0.21635838928001275,81,0,J.P. Morgan Securities LLC
82,2002111,0.38140932005076017,82,0,"Cohen & Steers Capital Management, Inc."
83,2002114,0.694807382849285,83,0,"Marshfield Associates, Inc."
84,2002115,0.40277171501151904,84,0,Equity Investment Corporation
85,2002119,0.2946865607504977,85,0,ZWJ Investment Counsel Inc.
86,2002124,0.3783280184205569,86,0,Klingenstein Fields Wealth Advisors
87,2002128,0.5386983818256057,87,3,Mark Asset Management LP
88,2002139,0.9951493893746222,88,0,"Strategic Investment Partners, Inc."
89,2002140,0.2079804266082931,89,3,"Los Angeles Capital Management And Equity Research, Inc."
90,2002142,0.28340021865424536,90,0,Marathon Asset Management LLP
91,2002144,0.3594269655414253,91,0,"S & Company, Inc."
92,2002145,0.6264126682587422,92,2,SSI Investment Management LLC
93,2002146,0.7398154738838929,93,0,"The Baupost Group, L.L.C."
94,2002149,0.5248170313049676,94,3,"Marvin & Palmer Associates, Inc."
95,2002150,0.19504484417919496,95,3,"Westfield Capital Management Company, L.P."
96,2002154,0.2706134421223468,96,0,Badgley Phelps Wealth Managers
97,2002156,0.36537447459692657,97,0,"Capital Advisors, Inc. (OK)"
98,2002158,0.282071231237746,98,3,Fisher Investments
99,2002159,0.6127579857468676,99,0,"Synovus Trust Company, N.A."
100,2002161,0.13289393353220727,100,0,"Dean Investment Associates, LLC"
101,2002163,0.2344219053768312,101,0,BMO Capital Markets (US)
102,2002165,0.4408398888709166,102,0,Kempner Capital Management Inc.
103,2002168,0.43398316295527095,103,0,"Cadinha & Co., L.L.C."
104,2002169,0.552447289208433,104,0,Edgewood Management LLC
105,2002171,0.2096393550175468,105,0,AGF Investments Inc.
106,2002173,0.16724996935475334,106,3,FCI Advisors
107,2002174,0.6193195293301372,107,3,Monetta Financial Services Inc.
108,2002177,0.24231604416597194,108,3,Calamos Advisors LLC
109,2002178,0.24036594107169895,109,0,"Granahan Investment Management, Inc."
110,2002179,0.1376900235822858,110,0,"Heartland Advisors, Inc."
111,2002180,0.18525061372306909,111,0,Impax Asset Management LLC
112,2002185,0.3022931974035372,112,0,"Kayne Anderson Rudnick Investment Management, LLC"
113,2002187,0.3877184246786153,113,0,"Snyder Capital Management, L.P."
114,2002188,0.1698336439549024,114,0,AMG Funds LLC
115,2002189,0.207879472637758,115,0,Manulife Investment Management (US) LLC
116,2002193,0.3008340795692048,116,3,"Hourglass Capital, LLC"
117,2002195,0.13632878655084912,117,0,Goldman Sachs Asset Management (US)
118,2002197,0.4380800572601609,118,3,Trust Company of Oklahoma
119,2002199,0.21024234485610985,119,0,"Yorktown Management & Research Company, Inc."
120,2002205,0.4980169810797875,120,0,"Davis Selected Advisers, L.P."
121,2002208,0.5187312238791375,121,0,"Rudman Capital Management, L.L.C."
122,2002210,0.2361405498351032,122,3,"Highland Capital Management, LLC"
123,2002216,0.4768363276110815,123,0,"Delta Asset Management, LLC"
124,2002217,0.3445612051444036,124,3,"Cedar Hill Associates, LLC"
125,2002218,0.3113789779868293,125,0,"SKBA Capital Management, LLC"
126,2002220,0.4267355425913735,126,3,"Stewart and Patten Co., L.L.C."
127,2002222,0.6176289254852299,127,0,"Angelo, Gordon & Co., L.P."
128,2002223,0.7621073613557668,128,0,Gardner Russo & Gardner
129,2002228,1.0,129,0,"ESL Investments, Inc."
130,2002231,0.3989927554967747,130,0,"Trustmark Investment Advisors, Inc."
131,2002232,0.484617608494846,131,0,Capital Growth Management L.P.
132,2002236,0.3893539101905618,132,0,Washington Trust Bank
133,2002237,0.1959879009245506,133,3,PanAgora Asset Management Inc.
134,2002238,0.3773791816466879,134,3,North American Management Corp.
135,2002239,0.2284322451463643,135,3,First Midwest Trust Company
136,2002240,0.1741849584946134,136,0,"Dalton, Greiner, Hartman, Maher & Co., LLC"
137,2002241,0.3905477654618586,137,0,"Brandes Investment Partners, L.P."
138,2002244,0.9654531265049612,138,0,"TowerView, L.L.C."
139,2002245,0.3632364023570502,139,3,"Salem Investment Counselors, Inc."
140,2002247,0.5453746265955821,140,0,Central Securities Corporation
141,2002249,0.3508393523050045,141,0,"Mairs and Power, Inc."
142,2002250,0.3172592088443505,142,0,Parnassus Investments
143,2002251,0.5701309557928784,143,0,Third Avenue Management LLC
144,2002252,0.17766667946741718,144,0,Federated Hermes Global Investment Management Corp.
145,2002254,0.6794513178258236,145,0,Kemper Corporation
146,2002256,0.902798483867296,146,0,Icahn Associates Corporation
147,2002264,0.43188018873278894,147,0,Heitman Real Estate Securities LLC
148,2002268,0.5131778476687712,148,0,"Weitz Investment Management, Inc"
149,2002281,0.4510510092414686,149,0,"Vontobel Asset Management, Inc."
150,2002284,0.27782208050234297,150,0,Navellier & Associates Inc.
151,2002285,0.7628026780383927,151,0,"Blackhill Capital, Inc."
152,2002287,0.29963707056035965,152,0,"Bahl & Gaynor Investment Counsel, Inc."
153,2002292,0.5058792362487683,153,0,"Farallon Capital Management, L.L.C."
154,2002293,0.16088484150003768,154,0,Numeric Investors LLC
155,2002294,0.10054395960942697,155,0,"Systematic Financial Management, L.P."
156,2002295,0.4027592013801131,156,0,Caxton Associates LP
157,2002296,0.20540930610736124,157,0,"Moody Aldrich Partners, LLC"
158,2002300,0.2746631504671264,158,3,"Granite Investment Advisors, LLC"
159,2002303,0.7385926445151539,159,0,Kynikos Associates LP
160,2002309,0.3531473317005013,160,3,Park National Bank
161,2002312,1.0,161,0,"Turner Investment Partners, Inc."
162,2002314,0.3389618154388676,162,3,"Boys, Arnold & Company, Inc."
163,2002315,0.4317226221442476,163,0,"Keating Investment Counselors, Inc."
164,2002320,0.383422826166158,164,3,"Campbell Newman Asset Management, Inc."
165,2002322,0.44092982586755375,165,0,"Coho Partners, Ltd."
166,2002324,0.1366486246473052,166,0,"Pier Capital, LLC"
167,2002325,0.6474329946999232,167,0,"Water Street Capital, Inc."
168,2002329,0.3461845385928157,168,3,"David Wendell Associates, Inc."
169,2002332,0.4514831331184311,169,0,"Merriman Wealth Management, LLC"
170,2002337,0.11953243580175585,170,0,"Cadence Capital Management, LLC"
171,2002339,0.5364534515537748,171,0,"Folger Nolan Fleming Douglas Capital Management, Inc. (CMI)"
172,2002342,0.23466276521625656,172,3,Central Trust & Investment Company
173,2002345,0.3113208707418316,173,3,"BTR Capital Management, Inc."
174,2002346,0.16015706261006726,174,0,Parametric Portfolio Associates LLC
175,2002349,0.4779043066445193,175,0,Zevenbergen Capital Investments LLC
176,2002355,0.199461914534933,176,3,Bryn Mawr Trust Company
177,2002357,0.32492875640341545,177,0,"Washington Capital Management, Inc."
178,2002358,0.24851839860435315,178,3,Clifford Swan Investment Counselors
179,2002359,0.23694917914411184,179,0,"Greenwood Capital Associates, LLC"
180,2002360,0.5284987913551437,180,0,GLOBALT Investments
181,2002362,0.5007048520636198,181,0,Franklin Templeton Investments Corporation
182,2002363,0.2751507420079401,182,0,"C. M. Bidwell & Associates, Ltd."
183,2002369,0.29241637745516913,183,3,Orleans Capital Management Corporation
184,2002370,0.5765628743392434,184,0,"Dudley & Shanley, Inc."
185,2002376,0.2645550906394895,185,0,"Fulton Financial Advisors, N.A."
186,2002380,0.18298970665826486,186,3,"Ziegler Capital Management, LLC"
187,2002382,0.5293961881376547,187,0,"Gardner Lewis Asset Management, L.P."
188,2002383,0.4614067287167069,188,0,"Tirschwell & Loewy, Inc."
189,2002384,0.7719135788337683,189,0,"Goodnow Investment Group, LLC"
190,2002385,0.45653173913837103,190,0,"Kopp Investment Advisors, LLC"
191,2002389,0.2518423802669408,191,0,Paloma Partners Management Company
192,2002391,0.3206050090849333,192,0,"Perkins Capital Management, Inc."
193,2002392,0.36635276222145374,193,3,R. H. Bluestein & Company
194,2002396,0.4894363737731709,194,0,"Brown Capital Management, LLC"
195,2002398,0.07019445719441872,195,0,"Kennedy Capital Management, Inc."
196,2002399,0.3601182985203015,196,0,"Fenimore Asset Management, Inc."
197,2002400,0.2207358481124341,197,0,Leuthold Weeden Capital Management
198,2002401,0.18154662907759048,198,3,First Quadrant L.P.
199,2002402,0.6199619645773657,199,0,"Knott Partners Management, LLC"
200,2002403,0.3657677582410309,200,0,"Speece Thorson Capital Group, Inc."
201,2002410,0.4471927066301859,201,0,Boyar Asset Management Inc.
202,2002411,0.18224130563421045,202,0,"Eagle Boston Investment Management, Inc."
203,2002418,0.7857314401410596,203,0,Yacktman Asset Management LP
204,2002419,0.4182154970586519,204,3,"United Bank, Inc."
205,2002420,0.3002200453097689,205,0,Godsey & Gibb Associates
206,2002421,0.4347955568819992,206,3,"Nichols & Pratt, LLP"
207,2002423,0.2131346088508549,207,0,CI Investments Inc.
208,2002424,0.4485114826668015,208,3,Gamble Jones Investment Counsel
209,2002425,0.2241154978894968,209,0,Davenport Asset Management
210,2002428,0.2037402526790798,210,0,"Jacobs Levy Equity Management, Inc."
211,2002429,0.3114665033099593,211,3,"Cypress Capital Management, LLC"
212,2002431,0.3877049208162449,212,0,Tekla Capital Management LLC
213,2002433,0.12816014616307306,213,0,"Columbia Wanger Asset Management, LLC"
214,2002436,0.2889135001481719,214,3,CenturyLink Investment Management Company
215,2002440,0.7858780514026767,215,0,"Account Management, LLC"
216,2002441,0.2580605019727088,216,3,"Adams Funds Advisers, LLC"
217,2002446,0.4419107827471391,217,3,"Invesco Management Group, Inc."
218,2002447,0.1968410309416548,218,3,The Retirement Systems of Alabama
219,2002448,0.13625493644564154,219,0,Alaska Retirement Management Board
220,2002449,0.3926791625968117,220,3,"Fred Alger Management, LLC"
221,2002451,0.16701442277149578,221,0,AllianceBernstein L.P.
222,2002452,0.24670208341159197,222,0,Honeywell Capital Management LLC
223,2002454,0.9630017079473354,223,0,Allstate Investments LLC
224,2002455,0.5377735287121126,224,0,Alpine Associates Management Inc.
225,2002466,0.3599574694287282,225,3,"American Financial Group, Inc."
226,2002468,0.1702324590508954,226,3,"Northern Trust Investments, Inc."
227,2002472,0.25133096467285626,227,3,Amica Mutual Insurance Company
228,2002478,0.2527423306144108,228,3,Factory Mutual Insurance Company
229,2002481,0.33067405646933523,229,0,"First Eagle Investment Management, L.L.C."
230,2002482,0.28292882254248,230,3,"Ashfield Capital Partners, LLC"
231,2002484,0.25825030382384273,231,3,"Associated Investment Management, LLC"
232,2002487,0.4016164114792123,232,3,"Atalanta Sosnoff Capital, LLC"
233,2002488,0.2578461695039605,233,0,"Atlanta Capital Management Company, L.L.C."
234,2002494,0.6187262318314295,234,0,"Credit Suisse Asset Management, LLC (US)"
235,2002496,0.2460789265253079,235,0,Barings LLC
236,2002497,0.32566331669386783,236,0,"Bailard, Inc."
237,2002503,0.2317541097306874,237,3,HighMark Capital Management Inc.
238,2002506,0.17482677589983908,238,3,BNY Mellon Asset Management
239,2002508,0.18055688178313925,239,0,"Bank of Oklahoma, N.A."
240,2002510,0.18681917118014774,240,0,"Ameritas Investment Partners, Inc."
241,2002511,0.12256617423396915,241,0,Deutsche Asset Management Americas
242,2002513,0.3178565899476833,242,3,"Barrett Asset Management, LLC"
243,2002514,0.24356195200188824,243,0,"Barrow, Hanley, Mewhinney & Strauss, LLC"
244,2002515,0.2732070362281129,244,3,Bartlett & Company
245,2002516,0.714979629435077,245,0,"BBT Capital Management, LLC"
246,2002521,0.3942356139309936,246,0,"Beck, Mack & Oliver LLC"
247,2002527,0.2874660439187093,247,3,Osborne Partners Capital Management LLC
248,2002528,0.20395129005581844,248,0,"Bessemer Trust Company, N.A. (US)"
249,2002530,0.5613988590715113,249,0,"Beutel, Goodman & Company Ltd."
250,2002535,0.2115945138238669,250,0,"William Blair & Company, L.L.C. (Research)"
251,2002542,0.37909396981677795,251,3,Bridges Investment Management Inc
252,2002543,0.3136278517393329,252,0,"John W. Bristol & Company, Inc."
253,2002545,0.25594598149732417,253,3,Deutsche Bank Securities Inc.
254,2002548,0.469899309462567,254,0,Brown Brothers Harriman & Company
255,2002551,0.17743268515778038,255,0,Winmill & Co. Incorporated.
256,2002557,0.2639684278029524,256,0,CNA Insurance Companies
257,2002561,0.2871652489360859,257,0,Caisse de Depot et Placement du Quebec
258,2002562,0.15372730811478788,258,0,California Public Employees' Retirement System
259,2002564,0.4096514571335445,259,0,Cambiar Investors LLC
260,2002567,0.31728052044846616,260,0,"Aristotle Capital Management, LLC"
261,2002570,0.263293394810372,261,3,Peter B. Cannell & Co. Inc.
262,2002572,0.19333800744283414,262,0,Capital Guardian Trust Company
263,2002576,0.28143802735181644,263,3,"Carret Asset Management, LLC"
264,2002577,0.2554227425213168,264,0,1832 Asset Management L.P.
265,2002582,0.06780807815991703,265,0,Victory Capital Management Inc.
266,2002583,0.8952623367550454,266,0,"Greenhaven Associates, Inc."
267,2002584,0.3931168043991144,267,0,"TD Waterhouse Private Investment Counsel, Inc."
268,2002588,0.3597919726582717,268,0,Chase Investment Counsel Corporation
269,2002591,0.3855416891181428,269,0,JPMorgan Private Bank (United States)
270,2002592,0.4658363770859971,270,3,Chelsea Management Company
271,2002594,0.3918743459094045,271,3,"Gillespie, Robinson & Grimm, Inc."
272,2002598,0.994932143651138,272,0,The Chubb Corporation
273,2002599,0.4174718038907585,273,3,"CIGNA Investments, Inc."
274,2002605,0.2947978964477553,274,3,"Citizens Financial Group, Inc."
275,2002611,0.1673242167358798,275,0,Nuveen LLC
276,2002614,0.23089287161173255,276,3,Public Employees' Retirement Association of CO
277,2002616,0.1996407706358598,277,0,Columbus Circle Investors
278,2002618,0.18255372707966933,278,0,"Comerica, Inc."
279,2002628,0.18297824452908912,279,0,"Conning, Inc."
280,2002629,0.33509133929060064,280,0,"Connor, Clark & Lunn Investment Management Ltd."
281,2002630,0.30993923528150336,281,3,"Connors Investor Services, Inc."
282,2002631,0.14593780528944078,282,3,"Chicago Equity Partners, LLC"
283,2002633,0.24588351821931315,283,0,"Cooke & Bieler, L.P."
284,2002636,0.4828217782434424,284,0,"Corbyn Investment Management, Inc."
285,2002637,0.3546162785871241,285,3,"Courier Capital, LLC"
286,2002638,0.4738319698579041,286,0,"Cowen & Co., LLC"
287,2002641,0.8703131201588761,287,0,SpringOwl Associates LLC
288,2002642,0.3575317090617916,288,0,Cutler Investment Group LLC
289,2002643,0.1485500686680974,289,3,RBC Capital Markets Wealth Management
290,2002646,0.3034309104814629,290,0,D.A. Davidson & Co.
291,2002653,0.14344485817831906,291,0,Macquarie Investment Management
292,2002654,0.19611509373549427,292,3,"Delphi Management, Inc."
293,2002658,0.09603920791970234,293,0,"Dimensional Fund Advisors, L.P."
294,2002659,0.2989884923277406,294,0,Dodge & Cox
295,2002670,0.3176695005917064,295,0,DuPont Capital Management Corporation
296,2002674,0.1936740645002879,296,0,Duff & Phelps Investment Management Company
297,2002675,0.09071542176559208,297,0,"Eagle Asset Management, Inc."
298,2002678,0.2246942032720866,298,3,Eaton Vance Management
299,2002688,0.17769256677368875,299,0,"Essex Investment Management Company, LLC"
300,2002691,0.5161011764714306,300,3,Everett Harris & Co.
301,2002695,0.13637502417860736,301,0,Oppenheimer Asset Management Inc.
302,2002696,0.6669220971892817,302,0,"FBL Investment Management Services, Inc."
303,2002698,0.6204679803232184,303,0,Federated Hermes Investment Management Company
304,2002700,0.27679426858458445,304,3,"Ferguson Wellman Capital Management, Inc."
305,2002702,0.2304409576115245,305,0,Fidelity Management & Research Company LLC
306,2002704,0.3889142885875587,306,0,"Fiduciary Management, Inc."
307,2002706,0.3341535909559333,307,3,Fiduciary Trust Company
308,2002707,0.20662157292096006,308,3,Franklin Equity Group
309,2002708,0.23059280893970066,309,3,"ClearArc Capital, Inc."
310,2002713,0.22190351113790044,310,0,"U.S. Bancorp Asset Management, Inc."
311,2002715,0.2023740162475571,311,0,Credit Suisse Securities (USA) LLC
312,2002716,0.16201947289107946,312,0,"UBS Asset Management (Americas), Inc."
313,2002717,0.2609243737173629,313,0,First Citizens Bank & Trust Company
314,2002719,0.4156532447073488,314,2,Bishop Street Capital Management Corp
315,2002729,0.13650287180369136,315,0,"Foresters Investment Management Company, Inc."
316,2002732,0.4775933339214313,316,3,First Manhattan Company
317,2002744,0.18161657835451397,317,3,First National Bank of Omaha
318,2002745,0.3741740853356549,318,0,"First Financial Bank, N.A."
319,2002748,0.3782302946363825,319,0,First Pacific Advisors LP
320,2002752,0.6114448018995989,320,0,"1st Source Corporation Investment Advisors, Inc."
321,2002753,0.2129027760028871,321,0,"First Horizon Advisors, Inc."
322,2002755,0.34885014292762434,322,0,"First Wilshire Securities Management, Inc."
323,2002761,0.18591154744330907,323,0,Florida State Board of Administration
324,2002770,0.5218779463693467,324,0,"Foyston, Gordon & Payne Inc."
325,2002771,0.2026136339424452,325,0,"Trillium Asset Management, LLC"
326,2002772,0.16734457591935978,326,0,"Franklin Advisers, Inc."
327,2002774,0.24534779180356425,327,0,Friess Associates LLC
328,2002776,0.1396819668459537,328,0,"Frontier Capital Management Company, LLC"
329,2002777,0.23075264620643146,329,3,"Frost Investment Advisors, LLC"
330,2002782,0.1103745534318316,330,0,"Gabelli Funds, LLC"
331,2002783,0.135014238698229,331,0,"GW&K Investment Management, LLC"
332,2002785,0.6277570176797299,332,0,"Garrison, Bradford & Associates, Inc."
333,2002787,0.2402665458950065,333,3,"Gateway Investment Advisers, LLC"
334,2002789,0.3592267596900041,334,0,"General American Investors Company, Inc."
335,2002798,0.2596229635836941,335,3,"Gofen and Glossberg, L.L.C."
336,2002799,0.18348679989765085,336,0,"Goldman Sachs & Company, Inc."
337,2002801,0.31363387050181457,337,0,Grantham Mayo Van Otterloo & Co LLC
338,2002810,0.4347382845768765,338,0,Guardian Capital LP
339,2002813,0.9678014328371805,339,0,Hamblin Watsa Investment Counsel Ltd.
340,2002815,0.2978074442967351,340,0,"Falcon Point Capital, LLC"
341,2002818,0.2233136575790092,341,3,"BNP Paribas Asset Management USA, Inc."
342,2002819,0.3433189831434761,342,0,Harris Associates L.P.
343,2002821,0.2315276313424956,343,0,"HGK Asset Management, Inc."
344,2002822,0.2042089839199776,344,0,BMO Asset Management U.S.
345,2002823,0.20093387053694808,345,3,Hartford Investment Management Company
346,2002825,0.7131588117315155,346,3,J. M. Hartwell L.P._NLE
347,2002826,0.8930700084245824,347,3,"Harvard Management Company, Inc."
348,2002829,0.4669119008718911,348,0,Asset Management Group of Bank of Hawaii
349,2002832,0.8190042508263742,349,0,"Hellman, Jordan Management Company, Inc."
350,2002837,0.4233143044749455,350,3,Dorchester Wealth Management Company
351,2002840,0.2861477636877934,351,0,"Hotchkis and Wiley Capital Management, LLC"
352,2002841,0.2501616566749008,352,3,"Griffin Asset Management, Inc."
353,2002843,0.2785999246016737,353,3,"Howe and Rusling, Inc."
354,2002845,0.20261198999149974,354,0,Huntington Private Financial Group
355,2002847,0.302555227933993,355,3,Country Trust Bank
356,2002848,0.14562479656230118,356,0,Columbia Threadneedle Investments (US)
357,2002850,0.2702803309056068,357,0,Fiera Capital Corporation
358,2002854,0.975764507465772,358,0,Independent Order of Foresters
359,2002861,0.20336712784809546,359,0,"SunAmerica Asset Management, LLC"
360,2002863,0.21957535821133076,360,3,IBM Retirement Fund
361,2002864,0.2662051390494506,361,0,Van Eck Associates Corporation
362,2002866,0.4396816911658468,362,0,Inverness Counsel LLC
363,2002867,0.10798718968299616,363,0,"Invesco Advisers, Inc."
364,2002873,0.13541724431305072,364,0,"Investment Counselors of Maryland, LLC"
365,2002875,0.18296250941744666,365,0,"American Century Investment Management, Inc."
366,2002879,0.3115438945576255,366,0,"Investment Management of Virginia, L.L.C."
367,2002881,0.1378550341191174,367,0,Janney Montgomery Scott LLC
368,2002883,0.4708107205665086,368,0,"Jarislowsky Fraser, Ltd."
369,2002885,0.29411900170401034,369,3,Jennison Associates LLC
370,2002887,1.0,370,0,"John Hancock Financial Services, Inc."
371,2002889,1.0,371,0,Robert Wood Johnson Foundation
372,2002890,0.3024222267575036,372,3,"Johnson Investment Counsel, Inc."
373,2002895,0.7675546017381012,373,0,Kahn Brothers Advisors LLC
374,2002900,0.6510084412941082,374,0,"Kellner Capital, LLC"
375,2002906,0.2390950585094022,375,3,Luther King Capital Management Corp.
376,2002910,0.3533295141731065,376,0,"Kirr, Marbach & Company, LLC"
377,2002912,0.2403816123302233,377,0,Knights of Columbus
378,2002918,0.5594927452080478,378,0,"Lateef Investment Management, L.P."
379,2002921,0.2356955406993944,379,0,"Lazard Asset Management, L.L.C."
380,2002927,0.8799293124949703,380,0,Leith Wheeler Investment Counsel Ltd.
381,2002933,0.6563056175006133,381,0,Liberty Mutual Insurance Group
382,2002937,0.6020329223016475,382,0,Lincluden Investment Management Limited
383,2002941,0.2546528299949453,383,3,Bank of the West
384,2002943,0.32047295341910226,384,0,"Capital Investment Services of America, Inc."
385,2002944,0.979406996912364,385,0,Loews Corporation
386,2002946,0.38506830760390004,386,0,"Loomis, Sayles & Company, L.P."
387,2002947,0.097330449161855,387,0,"Lord, Abbett & Co. LLC"
388,2002948,0.3854303966188046,388,0,"Loring, Wolcott & Coolidge Fiduciary Advisors, LLP"
389,2002952,0.2483785396550591,389,3,"Lowe, Brockenbrough & Company, Inc."
390,2002953,0.1609748568326729,390,0,"Thrivent Asset Management, LLC"
391,2002959,0.18681118683500947,391,0,MacKay Shields LLC
392,2002960,0.22344563902395406,392,0,Mackenzie Financial Corporation
393,2002962,0.269312614779458,393,0,"Manning & Napier Advisors, LLC"
394,2002964,0.1848662548965083,394,0,Manulife Asset Management Limited
395,2002965,0.3635290898801565,395,0,"Wilmington Trust Investment Advisors, Inc."
396,2002966,0.304842630509676,396,3,"HSBC Bank USA, N.A."
397,2002969,0.3513944552733893,397,3,Markston International LLC
398,2002975,0.1919285687138846,398,0,MFS Investment Management
399,2002978,0.3371824404344237,399,0,Mawer Investment Management Ltd.
400,2002981,0.378570567662055,400,0,"Sound Shore Management, Inc."
401,2002983,0.33322847017809204,401,0,KeyBanc Capital Markets
402,2002986,0.30545800850492144,402,3,"C.S. McKee, L.P."
403,2002987,0.21706671446284925,403,0,MFS Investment Management Canada Limited
404,2002988,0.36767008600166107,404,0,Scotia Capital Inc.
405,2002990,0.4655079184747203,405,0,"McRae Capital Management, Inc."
406,2002992,0.18379731995161488,406,0,"Meeder Asset Management, Inc"
